libro1.txt libro2.txt libro3.txt libro4.txt libro5.txt libro6.txt 
la 1 1 1 1 1 1 
obra 1 0 0 0 0 1 
comienz 1 0 0 1 1 1 
notici 1 0 1 0 0 0 
celebr 1 1 0 0 0 0 
111º 1 0 0 0 0 0 
cumpleañ 1 0 0 0 0 0 
bilb 0 0 0 0 0 0 
bolson 0 0 0 0 0 0 
comarca. 0 0 0 0 0 0 
sin 1 1 1 1 0 1 
embargo, 1 1 0 1 0 1 
bilb 0 0 0 0 0 0 
fiest 1 0 0 0 0 0 
motiv 1 0 0 1 0 0 
principal 1 0 0 0 0 0 
part 1 1 1 1 1 1 
viaje, 1 0 0 1 1 0 
product 1 0 0 0 0 0 
dese 1 1 0 0 0 0 
termin 1 0 0 0 1 1 
dias 0 0 0 0 0 0 
paz 1 0 0 0 0 1 
tranquilidad. 1 0 0 0 0 0 
el 1 1 1 1 1 1 
mag 1 1 1 0 0 1 
gandalf, 0 0 0 0 0 0 
amig 1 1 1 0 0 0 
bilb 0 0 0 0 0 0 
inform 1 1 1 0 1 1 
decision 0 0 0 0 0 0 
hobbit, 1 1 0 0 0 0 
acud 1 1 0 0 1 1 
fiesta. 1 0 0 0 0 0 
tras 1 1 1 1 1 1 
discurs 1 0 0 0 0 0 
pronunci 1 0 0 0 0 0 
bilbo, 0 0 0 0 0 0 
pus 1 1 0 0 1 1 
anill 1 0 0 0 0 0 
magic 0 0 0 0 0 0 
desaparec 1 0 0 1 0 0 
sorprend 1 0 0 0 1 0 
hobbits. 1 0 1 1 0 1 
gandalf, 0 0 0 0 0 0 
sab 1 0 1 0 0 0 
acab 1 0 0 1 1 1 
bilbo, 0 0 0 0 0 0 
encontr 1 1 1 0 1 1 
bolson 0 0 0 0 0 0 
cerr 0 1 1 0 0 0 
alli 0 0 0 0 0 0 
pequeñ 1 0 0 0 0 0 
discusion 0 0 0 0 0 0 
el, 1 1 0 0 0 1 
neg 1 1 0 0 1 1 
dej 1 0 1 1 0 1 
anill 1 0 0 0 0 0 
rest 1 1 0 1 0 0 
herenci 1 0 0 0 0 0 
sobrin 1 0 0 0 1 0 
frodo; 0 0 0 0 0 0 
embargo, 1 1 0 1 0 1 
mag 1 1 1 0 0 1 
acab 1 0 0 1 1 1 
convenc 1 1 0 0 0 0 
bilb 0 0 0 0 0 0 
partio. 0 0 0 0 0 0 
entonces, 0 0 0 0 0 0 
dud 1 0 0 0 0 0 
ocasion 1 0 0 0 0 0 
anillo, 1 0 0 0 0 0 
gandalf 0 0 0 0 0 0 
busc 1 1 0 1 1 1 
inform 1 1 1 0 1 1 
el, 1 1 0 0 0 1 
inform 1 1 1 0 1 1 
frod 0 0 0 0 0 0 
guard 1 1 1 0 0 0 
toque. 1 0 0 0 0 0 
casi 1 0 0 0 0 1 
veint 1 0 0 0 0 0 
años 1 0 0 0 0 0 
despues, 0 0 0 0 0 0 
gandalf 0 0 0 0 0 0 
regres 1 1 0 0 1 1 
bolson 0 0 0 0 0 0 
cerr 0 1 1 0 0 0 
frod 0 0 0 0 0 0 
descubiert 1 0 0 1 0 0 
anillo: 0 0 0 0 0 0 
trat 1 1 1 0 1 0 
rey 0 0 0 0 1 1 
isildur 0 0 0 0 0 0 
arnor 0 0 0 0 0 0 
arrebat 1 0 0 0 0 0 
señor 0 1 0 0 0 0 
oscur 1 0 1 0 0 0 
